product,rating,price,product url
PetSafe Boundary Wire for Electric Dog and Cat Containment Fences - Durable 16 Gauge and 20 Gauge Options - Available in 500 FT & 150 FT from the Parent Company of the INVISIBLE FENCE Brand  ,4.6 out of 5 stars,42.95,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfYXRmX25leHQ6MjAwMDMwOTkzNzgwMjUxOjowOjo&url=%2FPetSafe-Boundary-20-Gauge-Copper-Ground%2Fdp%2FB0017DGFSA%2Fref%3Dsr_1_145_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"4Knines Floor Hammock™ for Crew Cab Trucks (Black, Passenger Side Split).  ",4.7 out of 5 stars,169.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfYXRmX25leHQ6MjAwMDkwMjk2ODIzNjMxOjowOjo&url=%2F4Knines-Floor-Hammock-Trucks-Passenger%2Fdp%2FB08HBBDTGN%2Fref%3Dsr_1_146_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-146-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Washable Pee Pads for Dogs, Whelping Pads Washable and Waterproof Reusable Large Puppy Pads Pet Training Pads, Playpen Dogs Mat 48 x 60 Inch (Pack of 2)  ",4.6 out of 5 stars,59.98,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfYXRmX25leHQ6MjAwMDk5NDA1MjA2Mzk4OjowOjo&url=%2FWashable-Whelping-Waterproof-Reusable-Training%2Fdp%2FB09MCV95MP%2Fref%3Dsr_1_147_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-147-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Plush Paws Products Convertible Cargo Liner | Diamond Stitching | Washable & Waterproof Dog Cargo Protection | Cover Car, Truck, & SUV | Nonslip, Tear Resistant Pet Cargo Cover  ",4.6 out of 5 stars,99.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfYXRmX25leHQ6MjAwMDQ4NzM4ODY3NTcxOjowOjo&url=%2FPlush-Paws-Refined-Cargo-Liner%2Fdp%2FB01IAHSA8I%2Fref%3Dsr_1_148_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-148-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Dexas MudBuster Portable Dog Paw Washer/ Paw Cleaner  ,4.4 out of 5 stars,21.98,https://amazon.com/Dexas-MudBuster-Portable-Cleaner-Large/dp/B01N52Z30T/ref=sr_1_149?keywords=Pet+products&qid=1668370716&sr=8-149
"Newcrew Dog Grooming Hammock with Nail Clipper, Nail File, Comb, Grooming Glove, 4 S-Hooks, 2 Scissors, 2 Hanging Straps, Microfiber Cloth for Small Dogs with Weight Capacity 10 to 30 Pounds  ",4.2 out of 5 stars,23.99,https://amazon.com/Newcrew-Grooming-Scissors-Microfiber-Capacity/dp/B09J3Z8LDH/ref=sr_1_150?keywords=Pet+products&qid=1668370716&sr=8-150
"Mirage Pet Products Christmas Fuzzy Wuzzy Smoocher, Medium  ",4.6 out of 5 stars,7.52,https://amazon.com/Mirage-Pet-Products-Christmas-Smoocher/dp/B0085F1N7G/ref=sr_1_152?keywords=Pet+products&qid=1668370716&sr=8-152
"Pet Magasin Reusable Washable Diapers Laundry Bags Durable Premium Polyester Mesh with Secure Drawstring Closure for Delicates,Pet Diapers, Velcro and Etc  ",4.3 out of 5 stars,3.99,https://amazon.com/Pet-Magasin-Polyester-Drawstring-Delicates/dp/B07W48FH4F/ref=sr_1_153?keywords=Pet+products&qid=1668370716&sr=8-153
Ideal Pet Products 3-Panel Airseal and VIP Pet DoorReplacement Flap  ,4.7 out of 5 stars,60.76,https://amazon.com/Ideal-Pet-Products-AirSeal-Replacement/dp/B004Q0C44K/ref=sr_1_156?keywords=Pet+products&qid=1668370716&sr=8-156
K&H Pet Products Thermo-Plush Pad Indoor Heated Pet Bed for Dogs & Cats  ,4.4 out of 5 stars,74.99,https://amazon.com/PET-PRODUCTS-Thermo-Plush-Indoor-Heated/dp/B07QW2ZJ42/ref=sr_1_157?keywords=Pet+products&qid=1668370716&sr=8-157
K&H PET PRODUCTS Lectro-Soft Igloo Style Dog Bed  ,4.3 out of 5 stars,122.36,https://amazon.com/Pet-Products-1053-Lectro-Soft-Included/dp/B07HML6KWP/ref=sr_1_159?keywords=Pet+products&qid=1668370716&sr=8-159
"Analan Mini Pet Hair Remover for Car Detailing Supplies, Carpet Dog Hair Remover for Car Interior, Triangle Dog Hair Remover for Auto Detailing, Couch, Furniture, Lint, Carpet  ",4.6 out of 5 stars,15.99,https://amazon.com/ANALAN-Remover-Couch-Detailing-Fabric/dp/B08FH9GVW2/ref=sr_1_160?keywords=Pet+products&qid=1668370716&sr=8-160
"Ameritex Waterproof Dog Bed Cover Pet Blanket with Anti-Slip Back for Furniture Bed Couch Sofa 2 pcs (20x30 Inches, Light Pink)  ",4.3 out of 5 stars,9.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfbXRmOjIwMDA5Mzg1OTUzOTQ5ODo6MDo6&url=%2FAmeritex-Waterproof-Blanket-Anti-Slip-Furniture%2Fdp%2FB08RBVBJCK%2Fref%3Dsr_1_161_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-161-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Ownpets Foldable Pet Sling Carrier, Dog and Cat Papoose Bag with Adjustable Opening & 3 Pockets for Daily Walks & Outdoor Travel, Breathable Shoulder Strap for Puppies, Small Dogs & Cats  ",5.0 out of 5 stars,34.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfbXRmOjIwMDA4MTM3OTUyNTE5ODo6MDo6&url=%2FOwnpets-Foldable-Adjustable-Breathable-Shoulder%2Fdp%2FB0B2J39ZR7%2Fref%3Dsr_1_162_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-162-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
