name,formatted_address,latitud,longitud,Schedule,rating,types
Burciaga Juardo Jesis Dabiel,"C. Jacinto Benavente 2545, Casas Grandes, 32600 Cd Juárez, Chih., Mexico",31.7055094,-106.4311667,,null,
Veterinaria del Ángel,"Av. Ejército Nacional 6905, Partido Iglesias, 32536 Cd Juárez, Chih., Mexico",31.7064747,-106.4236297,"Lunes: 10:00 AM – 5:00 PM, Martes: 10:00 AM – 5:00 PM, Miércoles: 10:00 AM – 5:00 PM, Jueves: 10:00 AM – 5:00 PM, Viernes: 10:00 AM – 5:00 PM, Sabado: 10:00 AM – 5:00 PM, Domingo: 10:00 AM – 2:00 PM, ",4.8,
Vet&Grooming,"Segunda de Querétaro 6535-1, Lomas de San José, 32680 Cd Juárez, Chih., Mexico",31.6601213,-106.4293481,"Lunes: 10:00 AM – 6:00 PM, Martes: 10:00 AM – 6:00 PM, Miércoles: 10:00 AM – 6:00 PM, Jueves: 10:00 AM – 6:00 PM, Viernes: 10:00 AM – 6:00 PM, Sabado: 10:00 AM – 6:00 PM, Domingo: Closed, ",4.4,
Grupo Bemasa,"Av. Tecnológico 3087, Tecnológico, 32538 Cd Juárez, Chih., Mexico",31.6993913,-106.4252619,"Lunes: 9:00 AM – 5:30 PM, Martes: 9:00 AM – 5:30 PM, Miércoles: 9:00 AM – 5:30 PM, Jueves: 9:00 AM – 5:30 PM, Viernes: 9:00 AM – 5:30 PM, Sabado: 9:00 AM – 1:00 PM, Domingo: Closed, ",null,Servicios veterinarios para mascotas 
Del Sol Hospital Veterinario,"Av. Tecnológico local 105, Plaza del Sol, 32618 Cd Juárez, Chih., Mexico",31.6994472,-106.4249082,"Lunes: 7:00 AM – 10:30 PM, Martes: 7:00 AM – 10:30 PM, Miércoles: 7:00 AM – 10:30 PM, Jueves: 7:00 AM – 10:30 PM, Viernes: 7:00 AM – 10:30 PM, Sabado: 7:00 AM – 10:30 PM, Domingo: 7:00 AM – 10:30 PM, ",4.7,Servicios veterinarios para mascotas 
Veterinaria Aeropuerto,"Avenida M. J. Clouthier 7509, Del Real, Cd Juárez, Chih., Mexico",31.6687418,-106.4155542,,4.7,Servicios veterinarios para mascotas 
Distribuidora loya,"C. Jiquilpan 7853, Eréndira, 32662 Cd Juárez, Chih., Mexico",31.6723393,-106.4100511,"Lunes: 9:00 AM – 6:00 PM, Martes: 9:00 AM – 6:00 PM, Miércoles: 9:00 AM – 6:00 AM, Jueves: 9:00 AM – 6:00 AM, Viernes: 9:00 AM – 6:00 AM, Sabado: 9:00 AM – 3:00 PM, Domingo: Closed, ",5,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, servicios veterinarios para mascotas"
Jiménez Contreras Silvia,"Rancho el 24 3020, Pradera Dorada, 32618 Cd Juárez, Chih., Mexico",31.7007001,-106.4225907,,4.3,Servicios veterinarios para mascotas 
Veterinary Pradera Dorada,"Rancho el 24 3020, 32618 Cd Juárez, Chih., Mexico",31.7007307,-106.4225079,"Lunes: 10:00 AM – 7:00 PM, Martes: 10:00 AM – 7:00 PM, Miércoles: 10:00 AM – 7:00 PM, Jueves: 10:00 AM – 7:00 PM, Viernes: 10:00 AM – 7:00 PM, Sabado: 10:00 AM – 3:00 PM, Domingo: Closed, ",4.8,Servicios veterinarios para mascotas 
MediCan Care,"C. Amozoc 7923, Eréndira, 32662 Cd Juárez, Chih., Mexico",31.6703474,-106.40953,"Lunes: 9:30 AM – 8:00 PM, Martes: 9:30 AM – 8:00 PM, Miércoles: 9:30 AM – 8:00 PM, Jueves: 9:30 AM – 8:00 PM, Viernes: 9:30 AM – 8:00 PM, Sabado: 9:30 AM – 6:30 PM, Domingo: Closed, ",4.7,Servicios veterinarios para mascotas 
Paso del Norte Clínica Veterinaria,"C. Nayarit #6814, Ampliación Aeropuerto, 32390 Cd Juárez, Chih., Mexico",31.6643981,-106.4268876,"Lunes: 9:00 AM – 6:00 PM, Martes: 9:00 AM – 6:00 PM, Miércoles: 9:00 AM – 6:00 PM, Jueves: 9:00 AM – 6:00 PM, Viernes: 9:00 AM – 6:00 PM, Sabado: 9:00 AM – 6:00 PM, Domingo: Closed, ",5,Servicios veterinarios para mascotas 
Veterinaria PENNY-PETS,"C. Malvavisco 7826, Prados Santa Anita, 32600 Cd Juárez, Chih., Mexico",31.6704589,-106.4073389,"Lunes: 12:30 – 6:00 PM, Martes: 12:00 – 6:00 PM, Miércoles: 12:00 – 6:00 PM, Jueves: 12:00 – 6:00 PM, Viernes: 12:00 – 6:00 PM, Sabado: 2:00 – 6:00 PM, Domingo: Closed, ",5,Servicios veterinarios para mascotas 
Vet samaniego,"Cardenal 6426, Del Márquez, 32607 Cd Juárez, Chih., Mexico",31.7027476,-106.4302331,,null,Servicios veterinarios para mascotas 
Veterinaria Kapi,"C. Centeno, Colinas de Juárez Fraccionamiento, 32680 Cd Juárez, Chih., Mexico",31.666029,-106.437029,,4.9,Servicios veterinarios para mascotas 
Pet Home,"Floresta de San José, 32534 Cd Juárez, Chih., Mexico",31.6989136,-106.4089836,,null,Servicios veterinarios para mascotas 
Pet's World,"Av. Ejército Nacional, Pradera Dorada, Floresta de San José, 32618 Cd Juárez, Chih., Mexico",31.7017592,-106.4134136,"Lunes: 9:00 AM – 7:00 PM, Martes: 9:00 AM – 7:00 PM, Miércoles: 9:00 AM – 7:00 PM, Jueves: 9:00 AM – 7:00 PM, Viernes: 9:00 AM – 7:00 PM, Sabado: 9:00 AM – 6:00 PM, Domingo: 10:00 AM – 5:00 PM, ",4.4,Servicios veterinarios para mascotas 
