id_veterinaries,place_name,address_vet,Schedule,class_activity_vet,rating_vet,latitud,longitud
1,A LA MASCOTA,"PERU   COL. HIDALGO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74496885,-106.4693119
2,CENTRO MEDICO VETERINARIO OSCAR FLORES,"LICENCIADO OSCAR FLORES SANCHEZ   COL. CUESTA, JUÁREZ, CHIHUAHUA","Lunes: 10:00 AM – 8:00 PM, Martes: 10:00 AM – 8:00 PM, Miércoles: 10:00 AM – 8:00 PM, Jueves: 10:00 AM – 8:00 PM, Viernes: 10:00 AM – 8:00 PM, Sabado: 10:00 AM – 6:00 PM, Domingo: 10:00 AM – 2:00 PM, ",Servicios veterinarios para mascotas ,4.5,31.68092696,-106.4370565
3,ACUARAMA IMPERIAL,"EJERCITO NACIONAL 2701  COL. DEL MARQUEZ, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.70744668,-106.4289794
4,CLINICA VETERINARIA MISIONES,"FUENTE DE VERONA   COL. JARDINES DEL LAGO, JUÁREZ, CHIHUAHUA","Lunes: 8:00 AM – 8:00 PM, Martes: 8:00 AM – 8:00 PM, Miércoles: 8:00 AM – 8:00 PM, Jueves: 8:00 AM – 8:00 PM, Viernes: 8:00 AM – 8:00 PM, Sabado: 8:00 AM – 8:00 PM, Domingo: 9:00 AM – 5:00 PM, ",Servicios veterinarios para mascotas ,5,31.6865227,-106.4169197
5,AGROINDUSTRIAL LIDERLAC VALLE DE JUAREZ,"TAPACHULA 254  COL. GUADALUPE DISTRITO BRAVO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60169276,-106.458682
6,ALVAMA PETS,"PASEO DE RUISEÑORES PONIENTE   COL. PASEOS DEL ALBA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.63702237,-106.4168482
7,ANIMAL CARE,"TLAXCALA  939 COL. CUAUTEMOC, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74419326,-106.4742586
8,ANIMAL CLINICA DE LAS AMERICAS,"JOSE MARTI 2818  COL. AMERICAS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74752006,-106.4565284
9,BLACK CAN VETERINARIA,"PUERTO DUNQUERQUE 1321  COL. TIERRA NUEVA 2, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.61458673,-106.3357993
10,CABALLO & JINETE,"EJIDO SAN AGUSTIN   COL. EL PAPALOTE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.63033706,-106.3449783
