FID,name,address,products,latitude,longitude
1,A La Mascota,"Peru   Col. Hidalgo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74496885,-106.4693119
2,Centro Medico Veterinario Oscar Flores,"Licenciado Oscar Flores Sanchez   Col. Cuesta, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.68092696,-106.4370565
3,Acuarama Imperial,"Ejercito Nacional 2701  Col. Del Marquez, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.70744668,-106.4289794
4,Clinica Veterinaria Misiones,"Fuente De Verona   Col. Jardines Del Lago, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6865227,-106.4169197
5,Agroindustrial Liderlac Valle De Juarez,"Tapachula 254  Col. Guadalupe Distrito Bravo, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.60169276,-106.458682
6,Alvama Pets,"Paseo De Ruisenores Poniente   Col. Paseos Del Alba, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63702237,-106.4168482
7,Animal Care,"Tlaxcala  939 Col. Cuautemoc, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74419326,-106.4742586
8,Animal Clinica De Las Americas,"Jose Marti 2818  Col. Americas, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74752006,-106.4565284
9,Black Can Veterinaria,"Puerto Dunquerque 1321  Col. Tierra Nueva 2, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.61458673,-106.3357993
10,Caballo & Jinete,"Ejido San Agustin   Col. El Papalote, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.63033706,-106.3449783
11,Centro Antirrabico De Ciudad Juarez,"De Sevilla 4241  Col. Santa Rosa, Juarez, Chihuahua",Servicios veterinarios para mascotas prestados por el sector público,31.71740319,-106.4725601
12,Centro Medico Veterinario,"Hermanos Escobar 2379  Col. Hidalgo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74390505,-106.4621073
13,Centro Medico Veterinario,"Praderas De Los Alamos 9743  Col. Praderas De Los Alamos, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.62264345,-106.400927
14,Clinica De Esterilizacion,"Costa Rica 2135  Col. Melchor Ocampo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72072187,-106.4666938
15,Clinica De Veterinaria,"Zaragoza 8431  Col. Granjero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65029658,-106.4058954
16,Clinica Veterinaria,"Manuel Aispuro   Col. Infonavit Casas Grandes, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.7054588,-106.4414497
17,Clinica Veterinaria,"Adolfo Lopez Mateos 1762  Col. Paso Del Norte, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71817328,-106.451031
18,Clinica Veterinaria Belisario,"Belisario Dominguez 0  Col. Corregidora, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71999231,-106.4881301
19,Clinica Veterinaria Bichos,"Santiago Blancas 8339  Col. Revolucion, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63729725,-106.4066959
20,Clinica Veterinaria El Campanario,"Paseo De Compositores 1514  Col. El Campanario Cuatro Siglos, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.61117818,-106.3941007
21,Clinica Veterinaria Rinconada,"Palacio De Mitla 909  Col. Bosques De Salvacar, Juarez, Chihuahua",Comercio al por menor de mascotas,31.62536568,-106.3814295
22,Clinica Veterinaria Salvarcar,"Porfirio Diaz 1005  Col. Salvacar, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.64639155,-106.3752104
23,Cocopets,"Ejercito Nacional 8806  Col. Vista Del Sol, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.68911186,-106.3985796
24,Comida De Mascotas,"Ninguno   Col. 16 De Septimbre, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.72480992,-106.5346715
25,Compra Y Venta De Pastura,"Juarez-Casas Grandes 504  Col. K20, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.6071121,-106.4541819
26,Consultorio Veterinario,"Lago Huron 5348  Col. Los Lagos, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72491008,-106.4381804
27,Consultorio Veterinario,"Adolfo Lopez Mateos 1192 2 Col. Los Nogales, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72551567,-106.4503505
28,Consultorio Veterinario,"Linares 1323  Col. Mariano Escobedo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72038875,-106.499777
29,Consultorio Veterinario,"Toronja Roja  6339 Col. Pie De Casa El Granjero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65992397,-106.3962212
30,Consultorio Veterinario Maruet,"Cocoyoc   Col. Santa Teresa, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.69599023,-106.4300246
31,Distribuidora Randai,"Hacienda Central   Col. Las Haciendas, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.57759082,-106.3962369
32,Distribuidora Veterinaria La Vaquita Sa De Cv,"Del Portico 2038  Col. Satelite, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.6898465,-106.3804188
33,Distribuidora Veterinaria Romar,"Profesor Alejandro Aguirre Laredo 5206  Col. La Fuente, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.71524174,-106.4429976
34,Doctor Pet,"Ninos Heroes 2429  Col. Ex Hipodromo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72818056,-106.4625982
35,Doctor Pet,"De La Raza 708 1 Col. Los Nogales, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73116361,-106.4496351
36,Doctor Pet,"Pina 6754  Col. Granjero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65518985,-106.4012174
37,Dogito Veterinaria,"Juarez-Casas Grandes 0 4 Col. Kilometro 20, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.60712566,-106.4527028
38,Dogtor,"Manuel J. Clouthier (Jilotepec) 10110  Col. Infonavit Juarez Nuevo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.66027532,-106.3912539
39,Dogycat Clinica Veterinaria,"Francisco Villarreal Torres 0  Col. Juarez, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.68419984,-106.3874816
40,Dulceria Pinatas Sin Nombre,"16 De Septiembre   Col. Arroyo Colorado, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.74324862,-106.5021402
41,Estetica Canina Y Farmacia Veterinaria,"Valle De Juarez   Col. Frontera, Juarez, Chihuahua",Otros servicios personales,31.73739483,-106.4154369
42,Estetica Canina Y Veterinaria Dog Zone,"Manuel J. Clouthier (Jilotepec) 10267  Col. Infonavit Ampl Aeropuerto V Etapa, Juarez, Chihuahua",Otros servicios personales,31.65892227,-106.3871614
43,Estetica Veterinaria Patitas,"Camino Ortiz Rubio 5151  Col. Jardines De San Carlos, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.66604427,-106.3817644
44,Family Pet,"Valle Del Sol 1961  Col. Ejido Salvarcar, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.69410208,-106.3738753
45,Family Pet,"De Las Torres   Col. Parque Industrial Henequen, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.64816741,-106.3884004
46,Farmacia Veterinaria Bully,"16 De Septiembre   Col. Insurgentes, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.7450476,-106.5086614
47,Farmacia Veterinaria Dr De Leon,"Montes Urales 6621  Col. Lomas Del Rey, Juarez, Chihuahua",Comercio al por menor de mascotas,31.67085881,-106.4296507
48,Farmacia Veterinaria El Rancho,"Rancho Anapra 10520  Col. Puerto Anapra, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.77317365,-106.5540919
49,Farmapolis,"Manuel Gomez Morin 1536  Col. Satelite, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.67957176,-106.3712619
50,Forraje El Grano De Oro,"Sauzal 813  Col. El Sauzal, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.60845002,-106.3203369
51,Granos Y Pasturas El Alazan,"Gabriel Gavira 433  Col. Km 20, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.60728791,-106.4548862
52,Granos Y Semillas,"Juarez-Casas Grandes 481 2 Col. Km20, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.60715126,-106.4555749
53,Granos Y Semillas Del Valle,"Campeche 425  Col. Salvacar, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.64711398,-106.3630408
54,Happy Puppy,"Camino A Ortiz Rubio 2115  Col. Cordero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.68936583,-106.3755365
55,Healthy Pets,"Benjamin Franklin 3220  Col. Zona Pronaf, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74239829,-106.4518786
56,Hospican Veterinaria,"Montebello 2111  Col. Misiones, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70729291,-106.4099115
57,Hospital Veterinaria,"Adolfo Lopez Mateos 1662  Col. Cordoba Americas, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.75211891,-106.448184
58,Hospital Veterinario,"De Los Insurgentes 4032  Col. Los Nogales, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73175134,-106.4497264
59,Iig Intrnational,"Juarez-Porvenir 1004  Col. Zaragozita, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.63862997,-106.3380981
60,Inagro,"Vicente Guerrero 8048  Col. Los Parques, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.73234093,-106.4067927
61,Jj Hermanos Acosta,"Primera 305  Col. Salvacar, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.65278219,-106.3637011
62,La Providencia,"Puerto Palma   Col. Tierra Nueva Ii (Francisco Villarreal), Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.61138417,-106.3332082
63,Las Misiones,"Paseo De Compositores 1328  Col. Las Misiones, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.61081178,-106.3916551
64,Del Sol Hospital Veterinario,"Tecnologico 110  Col. Plaza Del Sol, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.69986186,-106.4247272
65,Mara Distribuciones,"Aeronautica 6910 13 Col. Jardines Del Aeropuerto, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.77675235,-106.5668809
66,Mascotas Goo,"Rodesia 7343  Col. Infonavit Tecnologico, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65331971,-106.4219504
67,Medican Care Hospital Veterinario,"Pitahaya   Col. Erendira, Juarez, Chihuahua",Otros servicios personales,31.67039815,-106.4092951
68,Megavet,"Senecú 2038  Col. Satelite, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.71991291,-106.406583
69,Mini Sur Veterinaria,"Lago De Corinto 199  Col. Inf Frontera, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74004526,-106.4189792
70,Mini Zoo,"Valle Del Sol 2050 7 Col. Plaza Sendero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.69520427,-106.3808714
71,Mini Zoo,"De Las Torres 2751  Col. Hcienda De Las Torres, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.60694745,-106.3978464
72,Minizoo,"Santiago Troncoso 1328  Col. Parque Industrial Pimsa Intermex, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63453812,-106.3848618
73,Montesol Animal Center,"Miguel De La Madrid Hurtado 7096  Col. 41, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6475011,-106.4027047
74,My Vet,"Del Charro 709  Col. Raul Garcia, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72929378,-106.4317429
75,Padisa,"Fray Pedro De Gante 7073  Col. San Lorenzo, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.73629251,-106.4264194
