place_name,address_vet,Schedule,class_activity_vet,rating_vet,Latitud,Longitud
A LA MASCOTA,"PERU   COL. HIDALGO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74496885,-106.4693119
CENTRO MEDICO VETERINARIO OSCAR FLORES,"LICENCIADO OSCAR FLORES SANCHEZ   COL. CUESTA, JUÁREZ, CHIHUAHUA","Lunes: 10:00 AM – 8:00 PM, Martes: 10:00 AM – 8:00 PM, Miércoles: 10:00 AM – 8:00 PM, Jueves: 10:00 AM – 8:00 PM, Viernes: 10:00 AM – 8:00 PM, Sabado: 10:00 AM – 6:00 PM, Domingo: 10:00 AM – 2:00 PM, ",Servicios veterinarios para mascotas ,4.5,31.68092696,-106.4370565
ACUARAMA IMPERIAL,"EJERCITO NACIONAL 2701  COL. DEL MARQUEZ, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.70744668,-106.4289794
CLINICA VETERINARIA MISIONES,"FUENTE DE VERONA   COL. JARDINES DEL LAGO, JUÁREZ, CHIHUAHUA","Lunes: 8:00 AM – 8:00 PM, Martes: 8:00 AM – 8:00 PM, Miércoles: 8:00 AM – 8:00 PM, Jueves: 8:00 AM – 8:00 PM, Viernes: 8:00 AM – 8:00 PM, Sabado: 8:00 AM – 8:00 PM, Domingo: 9:00 AM – 5:00 PM, ",Servicios veterinarios para mascotas ,5,31.6865227,-106.4169197
AGROINDUSTRIAL LIDERLAC VALLE DE JUAREZ,"TAPACHULA 254  COL. GUADALUPE DISTRITO BRAVO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60169276,-106.458682
ALVAMA PETS,"PASEO DE RUISEÑORES PONIENTE   COL. PASEOS DEL ALBA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.63702237,-106.4168482
ANIMAL CARE,"TLAXCALA  939 COL. CUAUTEMOC, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74419326,-106.4742586
ANIMAL CLINICA DE LAS AMERICAS,"JOSE MARTI 2818  COL. AMERICAS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74752006,-106.4565284
BLACK CAN VETERINARIA,"PUERTO DUNQUERQUE 1321  COL. TIERRA NUEVA 2, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.61458673,-106.3357993
CABALLO & JINETE,"EJIDO SAN AGUSTIN   COL. EL PAPALOTE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.63033706,-106.3449783
CENTRO ANTIRRABICO DE CIUDAD JUAREZ,"DE SEVILLA 4241  COL. SANTA ROSA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas prestados por el sector público,null,31.71740319,-106.4725601
CENTRO MEDICO VETERINARIO,"HERMANOS ESCOBAR 2379  COL. HIDALGO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74390505,-106.4621073
CENTRO MEDICO VETERINARIO,"PRADERAS DE LOS ALAMOS 9743  COL. PRADERAS DE LOS ALAMOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.62264345,-106.400927
CLINICA DE ESTERILIZACION,"COSTA RICA 2135  COL. MELCHOR OCAMPO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72072187,-106.4666938
CLINICA DE VETERINARIA,"ZARAGOZA 8431  COL. GRANJERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65029658,-106.4058954
CLINICA VETERINARIA,"MANUEL AISPURO   COL. INFONAVIT CASAS GRANDES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.7054588,-106.4414497
CLINICA VETERINARIA,"ADOLFO LOPEZ MATEOS 1762  COL. PASO DEL NORTE, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.71817328,-106.451031
CLINICA VETERINARIA BELISARIO,"BELISARIO DOMINGUEZ 0  COL. CORREGIDORA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.71999231,-106.4881301
CLINICA VETERINARIA BICHOS,"SANTIAGO BLANCAS 8339  COL. REVOLUCION, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.63729725,-106.4066959
CLINICA VETERINARIA EL CAMPANARIO,"PASEO DE COMPOSITORES 1514  COL. EL CAMPANARIO CUATRO SIGLOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.61117818,-106.3941007
CLINICA VETERINARIA RINCONADA,"PALACIO DE MITLA 909  COL. BOSQUES DE SALVACAR, JUÁREZ, CHIHUAHUA",,Comercio al por menor de mascotas,null,31.62536568,-106.3814295
CLINICA VETERINARIA SALVARCAR,"PORFIRIO DIAZ 1005  COL. SALVACAR, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.64639155,-106.3752104
COCOPETS,"EJERCITO NACIONAL 8806  COL. VISTA DEL SOL, JUÁREZ, CHIHUAHUA","Lunes: 9:00 AM – 6:00 PM, Martes: 9:00 AM – 6:00 PM, Miércoles: 9:00 AM – 6:00 PM, Jueves: 9:00 AM – 6:00 PM, Viernes: 9:00 AM – 6:00 PM, Sabado: 9:00 AM – 6:00 PM, Domingo: Cerrado, ",Servicios veterinarios para mascotas ,4.5,31.68911186,-106.3985796
COMIDA DE MASCOTAS,"NINGUNO   COL. 16 DE SEPTIMBRE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.72480992,-106.5346715
COMPRA Y VENTA DE PASTURA,"JUAREZ-CASAS GRANDES 504  COL. K20, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.6071121,-106.4541819
CONSULTORIO VETERINARIO,"LAGO HURON 5348  COL. LOS LAGOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72491008,-106.4381804
